comment_count,content,forward_count,id,keyword,like_count,posted_at,url,user
,温州59岁老教授只做老鸭头形态股票，两年翻8倍，千万散户收藏！ $南京熊猫 sh600775$ $上港集团 sh600018$ $南威软件 sh603636$ $中兵红箭 sz000519$  Sweet_腻腻蔓志慧的秒拍视频 ​​​,,GCUZ48d6T,600018,0,2018年10月08日 07:47,https://weibo.cn/comment/GCUZ48d6T?uid=5256417265&rl=1,Sweet_腻腻蔓志慧
,妙用炒股口诀：利用成交量选股，高达90%的牛股法。你知道多少？$嘉凯城 sz000918$$瑞泰科技 sz002066$$东土科技 sz300353$$上港集团 sh600018$ 江雅凡分析的秒拍视频 ​​​,,GCYmcjJa3,600018,0,2018年10月08日 16:22,https://weibo.cn/comment/GCYmcjJa3?uid=5240737723&rl=1,江雅凡分析
,顶尖操盘手精心分享MACD实战技巧，一旦学会轻松买在起涨点！$民生银行 sh600016$ $上港集团 sh600018$ $中原高速 sh600020$ $上海电力 sh600021$ 江雅凡分析的秒拍视频 ​​​,,GCYD0eYJ2,600018,0,2018年10月08日 17:04,https://weibo.cn/comment/GCYD0eYJ2?uid=5240737723&rl=1,江雅凡分析
,一旦遇见“5大短线”黑马，大胆追涨，紧跟主升浪！$嘉凯城 sz000918$$瑞泰科技 sz002066$$东土科技 sz300353$$上港集团 sh600018$ 江雅凡分析的秒拍视频 ​​​,,GCYySD8Py,600018,0,2018年10月08日 16:53,https://weibo.cn/comment/GCYySD8Py?uid=5240737723&rl=1,江雅凡分析
,中国股市散户炒股亏了不用怕，掌握这篇的炒股技巧轻松化解#上港集团 sh600018[股票]# #宝钢股份 sh600019[股票]# #中原高速 sh600020[股票]# 子茜财经的秒拍视频 ​​​,,GCYQWiLuE,600018,0,2018年10月08日 17:38,https://weibo.cn/comment/GCYQWiLuE?uid=6585090269&rl=1,子茜财经
,资深牛散从万卷股票书中总结的波段操作技巧，深知股市 $上港集团 sh600018$ $西山煤电 sz000983$ $三变科技 sz002112$ $好太太 sh603848$  陈大爷爷爷2222的秒拍视频 ​​​,,GCXKbw2Fk,600018,0,2018年10月08日 14:48,https://weibo.cn/comment/GCXKbw2Fk?uid=5995511525&rl=1,陈大爷爷爷2222
7,○  沪版供给侧改革方案出炉，国资改革成为重头戏    上海国改概念股：上海建工（600170）、上海电气（601727）、上汽集团（600104）、上港集团（600018）○  交通部发布方案，智能交通领域多家上市公司有望获大蛋糕    智能交通概念股：捷顺科技（002609）、达实智能（002421）、皖通科技（002331）、易华录（300212）○  全球首款固态氧化物燃料电池车面世    燃料电池：华昌化工（002274）、新大洲A（000571）、雪人股份（002639）、贵研铂业（600459）○  中国互联网安全大会本月中旬将开    网络安全概念股：北信源（300352）、美亚柏科（300188）、绿盟科技（300369）、蓝盾股份（300297）○  我国启动新一轮载人航天任务，相关个股受关注    载人航天概念股：龙溪股份（600592）、航天电子（600879）、航天科技（000901）、中国卫星（600118）○  供需关系逐步改善，水泥行业有望走出低谷    水泥股：海螺水泥（600585）、华新水泥（600801）、亚泰集团（600881）、福建水泥（600802）○  高铁东西互通，西部旅游或迎来大发展西部旅游概念股：西安民生（000564）、曲江文旅（600706）、西安旅游（000610）,81,E2v1OqMiu,600018,79,2016-08-07 22:03:13,https://weibo.cn/comment/E2v1OqMiu?uid=2244291964&rl=1,后知后觉股市直播
,中国芯片第一龙头从83跌至2元，横盘2年金叉，有望乌鸡变凤凰 $浙富控股 sz002266$ $际华集团 sh601718$ $西昌电力 sh600505$ $上港集团 sh600018$  yokki阳superman的秒拍视频 ​​​,,GD1xzfQ3l,600018,0,2018年10月09日 00:28,https://weibo.cn/comment/GD1xzfQ3l?uid=6390081063&rl=1,yokki阳superman
,A股最强悍的成交量信号：坚持只买一种类型的股票，轻松翻倍！#日照港 sh600017[股票]# #上港集团 sh600018[股票]# #宝钢股份 sh600019[股票]#大族激光 sz002008[股票]# 宇默文评股的秒拍视频 ​​​,,GCZs6gaKq,600018,0,2018年10月08日 19:09,https://weibo.cn/comment/GCZs6gaKq?uid=6364562199&rl=1,宇默文评股
,顶尖操盘手揭秘：价值千万的跟庄铁律，一买就涨从不例外！#日照港 sh600017[股票]# #上港集团 sh600018[股票]# #宝钢股份 sh600019[股票]# 宇默文评股的秒拍视频 ​​​,,GCXdqhBWU,600018,0,2018年10月08日 13:28,https://weibo.cn/comment/GCXdqhBWU?uid=6364562199&rl=1,宇默文评股
,打板干货：什么涨停板可以打？什么涨停板不能打？#宝钢股份 sh600019[股票]# #环球印务 sz002799[股票]# #中航沈飞 sh600760[股票]# 宇默文评股的秒拍视频 ​​​,,GCXCavkAo,600019,0,2018年10月08日 14:29,https://weibo.cn/comment/GCXCavkAo?uid=6364562199&rl=1,宇默文评股
,职业操盘手解析MACD鲜为人知技巧 精准逃顶 掌握捕捉最佳卖点$立思辰 sz300010$$广东明珠 sh600382$$宝钢股份 sh600019$$中铁工业 sh600528$ 江雅凡分析的秒拍视频 ​​​,,GCYl7wlSc,600019,0,2018年10月08日 16:19,https://weibo.cn/comment/GCYl7wlSc?uid=5240737723&rl=1,江雅凡分析
,量子通信 吹响反攻号角？近期有望直线拉升！ $宝钢股份 sh600019$ $长白山 sh603099$ $*ST油服 sh600871$ $北京银行 sh601169$  QueenieL的秒拍视频 ​​​,,GCWHOAbT0,600019,0,2018年10月08日 12:10,https://weibo.cn/comment/GCWHOAbT0?uid=1796253211&rl=1,QueenieL
,一位股市牛人自曝MACD选股技巧，精准逃顶精髓，掌握买卖$立思辰 sz300010$$广东明珠 sh600382$$宝钢股份 sh600019$$中铁工业 sh600528$$宁波港 sh601018$ 江雅凡分析的秒拍视频 ​​​,,GCYC71cRo,600019,0,2018年10月08日 17:01,https://weibo.cn/comment/GCYC71cRo?uid=5240737723&rl=1,江雅凡分析
,K线形态与MACD的结合运用：头肩顶+MACD死叉#宝钢股份 sh600019[股票]# #环球印务 sz002799[股票]# #中航沈飞 sh600760[股票]# 宇默文评股的秒拍视频 ​​​,,GCZMtck2z,600019,0,2018年10月08日 20:00,https://weibo.cn/comment/GCZMtck2z?uid=6364562199&rl=1,宇默文评股
,中国股市最赚钱的解套铁律：学会补仓做T $宝钢股份 sh600019$ $上海电力 sh600021$ $山东钢铁 sh600022$ $浙能电力 sh600023$ 丽友分析的秒拍视频 ​​​,,GCQnCx6Vu,600019,0,2018年10月07日 20:04,https://weibo.cn/comment/GCQnCx6Vu?uid=5972119921&rl=1,丽友分析
